SlNo,Property_Name,Property_Type,Address,Landmarks,City,State_code,Country,Carpet_area,Builtup_Area,Floor,Beds,Bathroom,Balcony,BHK_Type,Status,Furnished_status,Price_per_square_feet,Year_Built,Transaction_type,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
576,3BHK Multistorey Apartment for Resale in Gopanpalle,Apartment,"Hyderabad, Andhra Pradesh",Muppas green apartment,Hyderabad,Andhra Pradesh,India,1332,1965,30,3,3,1,3,Ready to Move,Unfurnished,10178,,Resale,East,2 Covered,Freehold,0,20000000
577,2BHK Multistorey Apartment for Resale in PBEL City at Appa Junction Area,Apartment,"Hyderabad, Andhra Pradesh","Near ORR Exit 18, TSPA Police Academy",Hyderabad,Andhra Pradesh,India,1392,,19,2,2,1,2,Ready to Move,Furnished,,,Resale,East,1 Covered,Freehold,500000,13000000
578,2BHK Multistorey Apartment for Resale in Nallagandla Tellapur Road,Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,1360,,2,2,2,1,2,Under Construction,Furnished,,,Resale,,,,0,12500000
579,3BHK Multistorey Apartment for Resale in Aparna Serenity at Kompally,Apartment,"Hyderabad, Andhra Pradesh",St Anns school,Hyderabad,Andhra Pradesh,India,2200,2225,9,3,4,2,3,Ready to Move,Unfurnished,8180,,Resale,North - East,,Freehold,18200000,18200000
580,4BHK Villa for Resale in Sark Three at Mokila,Villa,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,3000,3000,,4,4,1,4,Ready to Move,Furnished,12167,,Resale,West,,Freehold,1000000,36500000
581,"3BHK Multistorey Apartment for Resale in Hill County, Nizampet",Apartment,"Hyderabad, Andhra Pradesh",Epiceri Grocery store Reddy Labs sri chaitanya academy,Hyderabad,Andhra Pradesh,India,1750,2050,5,3,3,3,3,Ready to Move,Unfurnished,5366,,Resale,West,1 Covered,Freehold,500000,11000000
582,3BHK Villa for Resale in Praneeta Singapur Town at Shankarpalle Rangareddy,Villa,"Hyderabad, Andhra Pradesh","10 min from ODF and BDL factory township, Schools, 30 min from IIT Hyd",Hyderabad,Andhra Pradesh,India,,2162,,3,4,4,3,Ready to Move,Unfurnished,12026,,Resale,East,2 Covered,Freehold,0,26000000
583,2BHK Residential House for Resale in Ameenpur Road,Residential House,"Hyderabad, Andhra Pradesh",bachpan academic heightssri chaitanya school,Hyderabad,Andhra Pradesh,India,1450,1800,1,2,2,1,2,Ready to Move,Furnished,9444,,Resale,West,"1 Covered, 1 Open",Freehold,0,17000000
584,"3BHK Multistorey Apartment for Resale in Greenspace Celestial at Kokapet, Outer Ring Road",Apartment,"Hyderabad, Andhra Pradesh","My Home Tarkshya, Phoenix School",Hyderabad,Andhra Pradesh,India,,1895,8,3,2,2,3,Under Construction,Unfurnished,7652,,Resale,East,1 Covered,Freehold,100000,14500000
585,"5BHK Villa for Resale in Constella at Tukkuguda, Srisailam Highway",Villa,"Hyderabad, Andhra Pradesh","Tukkuguda Exit No. 14, airport 10km, WTC7Km",Hyderabad,Andhra Pradesh,India,3800,4250,,5,7,3,5,Under Construction,Unfurnished,9412,,Resale,East,2 Covered,Freehold,1000000,40000000
586,"3BHK Multistorey Apartment for Resale in Lodha Meridian at Kukatpally Housing Board Colony, NH 9",Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,2259,35,3,4,2,3,Ready to Move,Semi-Furnished,10491,,Resale,West,,Freehold,0,23700000
587,4BHK Multistorey Apartment for Resale in Kondapur,Apartment,"Hyderabad, Andhra Pradesh",Google office,Hyderabad,Andhra Pradesh,India,3154,4320,15,4,5,3,4,Ready to Move,Semi-Furnished,12000,,Resale,West,4 Covered,Freehold,1000000,51800000
588,"3BHK Multistorey Apartment for Resale in Accurate Wind Chimes at Narsingi, Outer Ring Road",Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,1405,6,3,2,1,3,Ready to Move,Furnished,9039,,Resale,,,,500000,12700000
